# rate1 rate2 deliver1 deliver2
0.45 1.90 0.95 1.00
0.50 1.00 0.95 0.99
0.55 0.90 0.96 0.98
0.60 0.85 0.96 0.98
0.65 0.80 0.95 0.97
0.70 0.75 0.97 0.98
0.75 0.70 0.98 0.98
0.80 0.65 0.98 0.97
0.85 0.60 0.97 0.95
0.90 0.55 0.99 0.96
0.95 0.55 0.99 0.96
1.00 0.55 1.00 0.97
1.05 0.55 0.99 0.97
1.10 0.50 0.99 0.95
1.15 0.50 1.00 0.95
1.20 0.50 1.00 0.95
1.25 0.50 1.00 0.96
1.30 0.50 1.00 0.95
1.35 0.50 1.00 0.95
1.40 0.50 1.00 0.96
1.45 0.50 1.00 0.96
1.50 0.50 1.00 0.96
1.55 0.50 1.00 0.96
1.60 0.50 1.00 0.96
1.65 0.50 1.00 0.95
1.70 0.50 1.00 0.96
1.75 0.50 1.00 0.95
1.80 0.50 1.00 0.96
1.85 0.50 1.00 0.96
1.90 0.45 1.00 0.95
1.95 0.50 1.00 0.95
